140,105,145,41,153,156,133,45,246,125,111,100,215,126,155,3
195,35,80,6,86,87,141,118,228,26,231,158,149,148,40,123
49,18,23,74,47,185,98,209,85,240,213,13,22,68,249,14
33,182,120,76,113,212,4,7,0,21,15,224,236,25,178,179
97,176,121,238,43,194,94,205,165,169,219,210,90,227,50,56
32,152,10,57,29,77,147,138,135,8,67,17,206,234,122,197
24,193,42,160,103,70,232,146,71,99,58,239,163,109,221,183
196,16,88,30,130,37,93,216,188,31,225,235,144,79,200,124
46,170,251,63,143,254,129,44,189,1,89,64,108,115,198,222
164,116,180,39,102,132,247,223,203,52,230,166,20,96,12,54
134,11,253,237,101,181,38,142,66,55,161,201,243,154,92,151
177,187,167,106,162,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
